Transaction_ID,Line_ID,Date,Description,Account_Name,Currency,Line_Type,Amount,Transaction_Total_Debit,Transaction_Total_Credit,Relative_Amount,Is_Max_Line,Num_Debit_Lines,Num_Credit_Lines
04227a6b-70f4-519a-9437-1274dffaed60,0,2024-05-01,Interest Received,KR10101-Toss Checking Account,KRW,debit,328.0,328.0,328.0,1.0,1,1,1
04227a6b-70f4-519a-9437-1274dffaed60,1,2024-05-01,Interest Received,KR70002-Interest Income,KRW,credit,328.0,328.0,328.0,1.0,1,1,1
eada07da-46b5-5475-9760-361e1e101623,0,2024-05-02,Myothurin,KR10101-Toss Checking Account,KRW,credit,17500.0,17500.0,17500.0,1.0,1,1,1
eada07da-46b5-5475-9760-361e1e101623,1,2024-05-02,Myothurin,KR60005-Personal Expenses,KRW,debit,17500.0,17500.0,17500.0,1.0,1,1,1
617aa8e6-a6a7-5bb1-8457-cc4a5122d38b,0,2024-05-02,Foreign Mart,KR10101-Toss Checking Account,KRW,credit,9400.0,9400.0,9400.0,1.0,1,1,1
617aa8e6-a6a7-5bb1-8457-cc4a5122d38b,1,2024-05-02,Foreign Mart,KR60002-Food Expenses,KRW,debit,9400.0,9400.0,9400.0,1.0,1,1,1
6e44dfc2-db73-51fd-98c4-9c0218e557b1,0,2024-05-03,iCloud+,KR10101-Toss Checking Account,KRW,credit,8900.0,8900.0,8900.0,1.0,1,1,1
6e44dfc2-db73-51fd-98c4-9c0218e557b1,1,2024-05-03,iCloud+,KR60005-Personal Expenses,KRW,debit,8900.0,8900.0,8900.0,1.0,1,1,1
e4794fe8-f618-5940-ac9a-37b729eb8fae,0,2024-05-03,양꼬치 w 서진,KR10101-Toss Checking Account,KRW,credit,30000.0,30000.0,30000.0,1.0,1,1,1
e4794fe8-f618-5940-ac9a-37b729eb8fae,1,2024-05-03,양꼬치 w 서진,KR60002-Food Expenses,KRW,debit,30000.0,30000.0,30000.0,1.0,1,1,1
ce202212-9cf1-500f-a857-ce43627c68e8,0,2024-05-03,교통카드 충전,KR10101-Toss Checking Account,KRW,credit,57275.0,57275.0,57275.0,1.0,1,1,1
ce202212-9cf1-500f-a857-ce43627c68e8,1,2024-05-03,교통카드 충전,KR60004-Transportation Expenses,KRW,debit,57275.0,57275.0,57275.0,1.0,1,1,1
3eaa4aff-6eef-5afa-b8fb-a8d48ca6191e,0,2024-05-04,Cashback,KR10101-Toss Checking Account,KRW,debit,100.0,100.0,100.0,1.0,1,1,1
3eaa4aff-6eef-5afa-b8fb-a8d48ca6191e,1,2024-05-04,Cashback,KR70001-Cashback Income,KRW,credit,100.0,100.0,100.0,1.0,1,1,1
81cee6fa-dd7a-594f-a783-64bbe98e6760,0,2024-05-04,CU,KR10101-Toss Checking Account,KRW,credit,5900.0,5900.0,5900.0,1.0,1,1,1
81cee6fa-dd7a-594f-a783-64bbe98e6760,1,2024-05-04,CU,KR60005-Personal Expenses,KRW,debit,5900.0,5900.0,5900.0,1.0,1,1,1
f2374363-0df7-5480-bd97-ce4ae0593135,0,2024-05-04,Tisya,KR10101-Toss Checking Account,KRW,credit,5000.0,0.0,5000.0,1.0,1,0,1
2b39bca2-9954-5ed1-a314-c5fd2ba34fa6,0,2024-05-04,Punishment,KR30201-Friends Debt,KRW,credit,95000.0,100000.0,95000.0,0.95,1,1,1
2b39bca2-9954-5ed1-a314-c5fd2ba34fa6,1,2024-05-04,Punishment,KR60006-Punishment Expenses,KRW,debit,100000.0,100000.0,95000.0,1.0,1,1,1
da3fc9bb-2c2d-5c63-9572-4cfd51c5cc98,0,2024-05-05,Pasta w Alua,KR10101-Toss Checking Account,KRW,credit,22400.0,22400.0,22400.0,1.0,1,1,1
da3fc9bb-2c2d-5c63-9572-4cfd51c5cc98,1,2024-05-05,Pasta w Alua,KR60002-Food Expenses,KRW,debit,22400.0,22400.0,22400.0,1.0,1,1,1
86ba6ce8-4db6-5cd1-beb5-5e2544dd43ee,0,2024-05-06,Coupang,KR10101-Toss Checking Account,KRW,credit,4990.0,4990.0,4990.0,1.0,1,1,1
86ba6ce8-4db6-5cd1-beb5-5e2544dd43ee,1,2024-05-06,Coupang,KR60005-Personal Expenses,KRW,debit,4990.0,4990.0,4990.0,1.0,1,1,1
6cf69210-3304-5212-bb03-dbd7c16d86b1,0,2024-05-06,Cashback,KR10101-Toss Checking Account,KRW,debit,100.0,100.0,100.0,1.0,1,1,1
6cf69210-3304-5212-bb03-dbd7c16d86b1,1,2024-05-06,Cashback,KR70001-Cashback Income,KRW,credit,100.0,100.0,100.0,1.0,1,1,1
ee860f81-73a5-54f6-be18-8531c5bb396b,0,2024-05-07,Pasta w 재원,KR10101-Toss Checking Account,KRW,credit,29750.0,29750.0,29750.0,1.0,1,1,1
ee860f81-73a5-54f6-be18-8531c5bb396b,1,2024-05-07,Pasta w 재원,KR60002-Food Expenses,KRW,debit,29750.0,29750.0,29750.0,1.0,1,1,1
88f402ad-11c7-5ec8-b07d-8d6c93237a5d,0,2024-05-07,Deposit,KR10101-Toss Checking Account,KRW,debit,40000.0,40000.0,40000.0,1.0,1,1,1
88f402ad-11c7-5ec8-b07d-8d6c93237a5d,1,2024-05-07,Deposit,KR10000-Cash,KRW,credit,40000.0,40000.0,40000.0,1.0,1,1,1
8691f93a-e227-5231-92d3-7714a7ada32d,0,2024-05-09,CU for 고건&식구,KR10101-Toss Checking Account,KRW,credit,8500.0,8500.0,8500.0,1.0,1,1,1
8691f93a-e227-5231-92d3-7714a7ada32d,1,2024-05-09,CU for 고건&식구,KR60002-Food Expenses,KRW,debit,8500.0,8500.0,8500.0,1.0,1,1,1
